date,AT,AU,BE,BR,CA,CH,DE,ES,FR,GB,IE,IN,IT,LU,MX,NL,NZ,PH,PL,SE,SG,US
2019-09-28,3.14832923085391,3.42732046695245,2.19894251294326,1.65092479800071,3.02828717805483,2.73525982202541,4.23830219474188,3.89873338897032,2.24560390742159,3.03957116570686,3.6994963617471,2.21010951632669,2.27759656174476,2.36409425091179,0.692794318429361,1.38288495462229,1.90175208993578,1.30905687670003,5.52420523097464,1.56847281014292,2.13453975594306,2.90432464548624
2019-09-29,3.16474056591902,3.42522593630165,2.20551797262008,1.64782941243718,3.03465513215755,2.73938232696082,4.24155684395703,3.89608225124653,2.24444375227496,3.03865320337991,3.67620915302047,2.21386927261498,2.27129897740483,2.38828582839528,0.693406170055326,1.38304757211329,1.90442348389573,1.3097523083898,5.51186754965437,1.57181422960269,2.12683778433146,2.8959454649456
2019-09-30,3.1765490702539,3.41812382241593,2.21048207301605,1.64979205871566,3.03880730456632,2.73929743550163,4.24326043507468,3.89357186220951,2.24811153212641,3.03875944183779,3.65456917502125,2.21750738099935,2.2694370205855,2.41225372652704,0.692780113053236,1.38444578633921,1.9233494822457,1.30634797155353,5.49590999216206,1.56739527860759,2.1282933361672,2.88798336317581
2019-10-01,3.18182961605641,3.41818141411905,2.21297597222743,1.64918725007319,3.03912566142074,2.73580053355184,4.24915423966033,3.89028239280491,2.24903171890046,3.04376718586151,3.62992040882272,2.218385387543,2.26518068339634,2.41637790909764,0.690260797214732,1.38556469832835,1.94052012862514,1.30231698686129,5.49158050518695,1.56604237669008,2.12785798981713,2.87815532652603
2019-10-02,3.18582523046482,3.42005537271539,2.22115834146593,1.64386584400596,3.04340064492728,2.7312786366187,4.25964428544877,3.88817140128392,2.24980028824923,3.05092420315026,3.61474718612937,2.21738731822238,2.26174621834634,2.42907595403822,0.685138048855623,1.38617098036453,1.93896118182568,1.29735825595628,5.50256282730181,1.58152986783369,2.129760113621,2.87113758499201
2019-10-03,3.18601171017726,3.43040407162876,2.22799788066902,1.6390057645419,3.04589469167318,2.72842096562513,4.2751588809058,3.90357055677696,2.25445243502925,3.05762291640916,3.60465278945597,2.21907637775,2.26082126915911,2.44200339701347,0.682331672375239,1.38506045255101,1.95595885572144,1.29334981323557,5.51826460950039,1.59671210041578,2.1358549077694,2.85811337105469
2019-10-04,3.19438031334427,3.42775822909006,2.23115255510344,1.63669376103478,3.04476247814273,2.7232163403827,4.29031431940006,3.91085364946271,2.25700866558444,3.06264000700507,3.59844092703674,2.21711337469834,2.26615293633211,2.45718916965491,0.68031477558139,1.38399809038799,1.9645553721869,1.29032743805934,5.54052255675438,1.6137048081611,2.13923625013142,2.84822352674879
2019-10-05,3.20011809980643,3.42533760642879,2.24538090476735,1.63501869314491,3.05010193979466,2.71725385237987,4.30013354403184,3.91742406737621,2.26345645311793,3.0643519652506,3.58246696933216,2.21992389839339,2.26753249894225,2.50238080379763,0.679283013055629,1.3807154238169,1.96623669810911,1.28436357852187,5.53967147671894,1.62762485732262,2.13848571387735,2.84340138200027
2019-10-06,3.20221009199669,3.42690758351696,2.24627402478262,1.6324866245134,3.05316268582474,2.71617994211214,4.31583052469444,3.92386495652784,2.26800500965928,3.06813034696267,3.58021852887075,2.22134072402903,2.26946280754284,2.52460669805997,0.67823844711415,1.37959317008585,1.9681449142639,1.27847133815193,5.56075716019666,1.64343823392831,2.13722160689919,2.83887827648808
2019-10-07,3.21219782286691,3.42520190225477,2.24639937408204,1.62762460379635,3.05634918202344,2.71858772503703,4.33152324556779,3.93007546877922,2.25849807084447,3.07122203400644,3.57577949437205,2.22419019105209,2.26418775395804,2.55305525812375,0.677668697285658,1.37713825948011,1.95617754286571,1.2618056623758,5.58377351123537,1.66110748657459,2.13132691705292,2.82973773998567
2019-10-08,3.22248610363255,3.43077780815484,2.24606320674754,1.62779715880272,3.06682947333254,2.72151797212018,4.33990648309958,3.93866439253334,2.24944935744815,3.07087730892275,3.58292552229266,2.2270353794494,2.26334042627422,2.58231135780931,0.676695667008279,1.37416449102011,1.94706586953404,1.24752664225455,5.60852881503577,1.67578709573263,2.12949568754161,2.8330025472187
2019-10-09,3.23304674109629,3.43702894468379,2.24289817602424,1.62676080106784,3.07423436690235,2.72858995796369,4.3449783310368,3.94648402709902,2.2379443314758,3.07032815067746,3.57555944171869,2.23018300147986,2.26179403249633,2.61135874531575,0.676503412710104,1.37211993207367,1.94281363268314,1.23540369561624,5.61219608283929,1.68470646882784,2.12384079324429,2.84452282118163
2019-10-10,3.23634131232255,3.44657802999386,2.24307693709109,1.63051168013813,3.08435925948899,2.7345666478581,4.34701804896865,3.94206560540014,2.23047251503422,3.0763031476862,3.5671361956954,2.22715124995207,2.25846590925333,2.63392533270857,0.677022830070068,1.37294622711683,1.930089948693,1.2256210327954,5.62932053613823,1.69344268236756,2.12009528678963,2.85445780261406
