date,AT,AU,BE,BR,CA,CH,DE,ES,FR,GB,IE,IL,IN,IT,LU,MX,NL,NZ,PH,PL,SE,SG,US,JP
2019-01-01,0.538234328848047,0.504650512442282,0.108960666278292,0.226037688392319,0.683093589753596,0.396871119304579,0.75671255445354,0.491637744094553,0.098842233393111,0.355263197993521,0.508165857989071,1.13742391256054,0.430922682560779,0.289918909356113,0.111399925733383,0.279618176558906,0.0693945014320502,0.508485555123721,0.515127330769789,0.592526464577508,0.441856225132181,0.505687357816055,1.80350396376296,0.95911633383051
2019-01-02,0.457484967123315,0.498140743045216,0.0925164040130247,0.180932781476565,0.650933784497801,0.405258872389932,0.701051363975003,0.472355918677357,0.0909192498421084,0.335074641883057,0.46455086604966,1.16983351193444,0.45316009339262,0.269733711778697,0.193686975853704,0.261339573886467,0.0706190627971062,0.522931726159404,0.47601739643592,0.553707504682841,0.389188882799062,0.523183168393244,1.77923920986032,1.01515294521893
2019-01-03,0.437595646141569,0.483777784072369,0.0854056237235003,0.16836853062786,0.635021229068833,0.381155107002717,0.67287450806309,0.450569535364946,0.0881530569733907,0.322195914803329,0.432900952418909,1.18515274232861,0.458819563062056,0.266352743189729,0.19464931592531,0.257396131808369,0.0625373845024768,0.507555356686224,0.451017798352302,0.543943593253463,0.370362205719115,0.525889965204328,1.75565417221552,1.03499249583251
2019-01-04,0.412738356878841,0.479780937038275,0.081576171770256,0.163352507196349,0.622013610031011,0.373524354385387,0.669173333346863,0.432436095868964,0.087743461601936,0.312438876554358,0.420178363664328,1.12870408230027,0.466469636305389,0.257113388682612,0.211798109023614,0.259815636669448,0.0635323569677649,0.513363677940459,0.444758695569583,0.531076792956243,0.352004580716258,0.535225647326522,1.7288016474495,1.0433684549209
2019-01-05,0.398740940250641,0.488639156494725,0.0822147340391455,0.164842588529412,0.614347704686258,0.376757010427522,0.686437497490804,0.449709534023734,0.0867246056361689,0.312754793264263,0.411775951664821,1.15176590314817,0.45695124055525,0.251174394007275,0.262867325587001,0.256807520380674,0.0629607559911314,0.533922219104732,0.443283860015966,0.529879790637574,0.358102027637695,0.546162334781198,1.71765140768463,1.06862890081271
2019-01-06,0.398771899745432,0.486955386977727,0.0813111315887058,0.164572885880937,0.618141252941151,0.385890173779034,0.696337509993665,0.453963138125483,0.0865233428182914,0.318271498860621,0.405759721290019,1.16386289030463,0.455528226418155,0.25230829337072,0.250274398576071,0.263699271201211,0.0650451535937002,0.520083668752712,0.432628307098998,0.524640732603315,0.372772051171426,0.543579479265639,1.72584066026418,1.08843209243196
2019-01-07,0.376759871385147,0.482139218029061,0.0799661975428007,0.161451639123359,0.61433772221572,0.380943794415877,0.687889516795114,0.445537151033855,0.0852463048780905,0.315479842691162,0.401400324596883,1.15905640087317,0.460036378616733,0.249038410012526,0.271190979935883,0.260152550465304,0.0645619957066959,0.508969609870566,0.427403542751044,0.512873196575959,0.368879805318607,0.533885241496969,1.72289739522641,1.09420738950059
2019-01-08,0.348058540499667,0.473946842524005,0.0749801111487921,0.148778268695751,0.598566599104327,0.376201521293829,0.670043568142433,0.428293114720258,0.0822525127192517,0.304489881238236,0.384557011132821,1.14417757929219,0.470302872309456,0.237114244335504,0.302895752450161,0.254169731083374,0.064148607966684,0.493506942174871,0.411931799766452,0.498920282718895,0.350121243934526,0.534605916274273,1.70179139321964,1.12612131852676
2019-01-09,0.344031824637494,0.469590764773656,0.0726136452538347,0.15035637961716,0.592703646478733,0.37403548671651,0.668358640007374,0.416223726862517,0.0813269724654708,0.298993982809712,0.372419760714373,1.12998274519168,0.471903210893243,0.23094686623731,0.303466528436347,0.25478235122356,0.0619986861334584,0.488678319614881,0.412738167780442,0.499269205372332,0.347883588638868,0.534739570138107,1.6894431295809,1.14990655511286
2019-01-10,0.339253504492098,0.467596145117135,0.0707124106417639,0.15003898661753,0.59016592223366,0.371845489087034,0.667782684454188,0.411859520116924,0.0813561162698394,0.295062513142397,0.370608722499508,1.15318378197188,0.474141615361898,0.22487286365863,0.297711771955602,0.260589263868084,0.0639915274783999,0.496710914661029,0.433856861152018,0.486261819054779,0.347775210911677,0.540407272378046,1.68179606332966,1.16780021987787
2019-01-11,0.340347822161561,0.464821308504302,0.0724802360043411,0.150855921716504,0.585035271505501,0.369487387231595,0.660896858516138,0.413047397196966,0.0803043373326658,0.292283568840931,0.362873473246426,1.2374526504507,0.470764311254969,0.222277215218899,0.289314961262006,0.26168375007765,0.0620596413914128,0.504910013921194,0.459450990523877,0.475715145798306,0.346194543095213,0.544641343347547,1.68108485188769,1.17642134086918
2019-01-12,0.333934041859394,0.45886489445307,0.070439015799017,0.151148729603783,0.582388847041033,0.372898558326489,0.64787442247051,0.394945796980858,0.0787056733686532,0.289836666845956,0.359464509819845,1.22185740408063,0.474755895049512,0.223304348568048,0.231248592663426,0.264283746263825,0.0634101652542976,0.499093660509068,0.695181304677191,0.462588825373985,0.339953924331404,0.547847392617452,1.68206514279481,1.1823258953956
2019-01-13,0.330804970504204,0.454973291073742,0.0713783323661119,0.153240051688376,0.574607298980125,0.373297283209288,0.636790459505322,0.396106354484323,0.0768347183769551,0.284863614840125,0.359423555994011,1.22359881384757,0.478908780372589,0.221506882690123,0.228636624695453,0.261240423204403,0.0603602130036172,0.522152343473783,0.753267485816242,0.452448093713128,0.320208190989105,0.554837299474086,1.68209098739664,1.18382241209562
